collection_name;catalog_element_id;status;use_license_id;optional;backup;vm_naming;commercial_name;short_name;os_family;version;type;language;architecture;description;min_mo;max_mo;ram_unlimited;min_mhz;cpu_unlimited;vcpu_min;vcpu_max;use_catalog_element_id
UCaaS CUEACs ITD;44015;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 1-6 operatrices-HCS862V3;CUEAC6-25S01E-HCS862V3;Windows 2008;ITDv3.0;CUEAC01;FR;64bits;CUEAC 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V3;6128;6128;true;2300;true;1;1;21
UCaaS CUEACs ITD;14016;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 6-25 operatrices-HCS861V1;CUEAC6-25S01S-HCS861V1;Windows 2008;ITDv1.2 V1;CUEAC01;FR;64bits;CUEAC 25 operatrices SQL-Standard avec installation Middleware HCS8.6.1 V1;4096;4096;true;256;true;1;1;22
UCaaS CUEACs ITD;24016;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 6-25 operatrices-HCS862V1;CUEAC6-25S01S-HCS862V1;Windows 2008;ITDv1.2 V1;CUEAC01;FR;64bits;CUEAC 25 operatrices SQL-Standard avec installation Middleware HCS8.6.2 V1;4096;4096;true;256;true;1;1;22
UCaaS CUEACs ITD;44016;available;00001;true;ImageLevel;CUEAC6-25S01;CUEAC UCaaS 6-25 operatrices-HCS862V3;CUEAC6-25S01S-HCS862V3;Windows 2008;ITDv3.0;CUEAC01;FR;64bits;CUEAC 25 operatrices SQL-Standard avec installation Middleware HCS8.6.2 V3;6128;6128;true;2300;true;1;1;22
UCaaS CUEACs ITD;14007;available;00001;true;ImageLevel;CUEAC25S02;CUEAC UCaaS 1+25-HCS861V1;CUEAC25S02-HCS861V1;Windows 2008;1.2 V1;CUEAC02;FR;64bits;CUEAC premier increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24007;available;00001;true;ImageLevel;CUEAC25S02;CUEAC UCaaS 1+25-HCS862V1;CUEAC25S02-HCS862V1;Windows 2008;1.2 V1;CUEAC02;FR;64bits;CUEAC premier increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44007;available;00001;true;ImageLevel;CUEAC25S02;CUEAC UCaaS 1+25-HCS862V3;CUEAC25S02-HCS862V3;Windows 2008;ITDv3.0;CUEAC02;FR;64bits;CUEAC premier increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14008;available;00001;true;ImageLevel;CUEAC25S03;CUEAC UCaaS 2+25-HCS861V1;CUEAC25S03-HCS861V1;Windows 2008;1.2 V1;CUEAC03;FR;64bits;CUEAC second increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;24008;available;00001;true;ImageLevel;CUEAC25S03;CUEAC UCaaS 2+25-HCS862V1;CUEAC25S03-HCS862V1;Windows 2008;1.2 V1;CUEAC03;FR;64bits;CUEAC second increment de 25 operatrices HCS8.6.2 V1;4096;4096;true;256;true;1;1;23
UCaaS CUEACs ITD;44008;available;00001;true;ImageLevel;CUEAC25S03;CUEAC UCaaS 2+25-HCS862V3;CUEAC25S03-HCS862V3;Windows 2008;ITDv3.0;CUEAC03;FR;64bits;CUEAC second increment de 25 operatrices HCS8.6.2 V3;6128;6128;true;2300;true;1;1;23
UCaaS CUEACs ITD;14009;available;00001;true;ImageLevel;CUEAC25S04;CUEAC UCaaS 3+25-HCS861V1;CUEAC25S04-HCS861V1;Windows 2008;1.2 V1;CUEAC04;FR;64bits;CUEAC troisieme increment de 25 operatrices HCS8.6.1 V1;4096;4096;true;256;true;1;1;23
