indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
22;24016;true;CUEAC6-25S01;CU1;CUEAC UCaaS 6-25 operatrices-HCS862V1;CUEAC6-25S01S-HCS862V1;Windows 2008;ITDv1.2 V1;CUEAC01;FR;64bits;CUEAC 25 operatrices SQL-Standard avec installation Middleware HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;22;"";;
23;44016;true;CUEAC6-25S01;CU1;CUEAC UCaaS 6-25 operatrices-HCS862V3;CUEAC6-25S01S-HCS862V3;Windows 2008;ITDv3.0;CUEAC01;FR;64bits;CUEAC 25 operatrices SQL-Standard avec installation Middleware HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;22;"";;
24;14007;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-HCS861V1;CUEAC25S02-HCS861V1;Windows 2008;1.2 V1;CUEAC02;FR;64bits;CUEAC premier increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
25;24007;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-HCS862V1;CUEAC25S02-HCS862V1;Windows 2008;1.2 V1;CUEAC02;FR;64bits;CUEAC premier increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
26;44007;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-HCS862V3;CUEAC25S02-HCS862V3;Windows 2008;ITDv3.0;CUEAC02;FR;64bits;CUEAC premier increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
27;14008;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-HCS861V1;CUEAC25S03-HCS861V1;Windows 2008;1.2 V1;CUEAC03;FR;64bits;CUEAC second increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
28;24008;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-HCS862V1;CUEAC25S03-HCS862V1;Windows 2008;1.2 V1;CUEAC03;FR;64bits;CUEAC second increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
29;44008;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-HCS862V3;CUEAC25S03-HCS862V3;Windows 2008;ITDv3.0;CUEAC03;FR;64bits;CUEAC second increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
30;14009;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-HCS861V1;CUEAC25S04-HCS861V1;Windows 2008;1.2 V1;CUEAC04;FR;64bits;CUEAC troisieme increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
31;24009;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-HCS862V1;CUEAC25S04-HCS862V1;Windows 2008;1.2 V1;CUEAC04;FR;64bits;CUEAC troisieme increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
32;44009;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-HCS862V3;CUEAC25S04-HCS862V3;Windows 2008;ITDv3.0;CUEAC04;FR;64bits;CUEAC troisieme increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
33;14010;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-HCS861V1;CUEAC25S05-HCS861V1;Windows 2008;1.2 V1;CUEAC05;FR;64bits;CUEAC quatrieme increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
34;24010;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-HCS862V1;CUEAC25S05-HCS862V1;Windows 2008;1.2 V1;CUEAC05;FR;64bits;CUEAC quatrieme increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
35;44010;true;CUEAC25S05;CU5;CUEAC UCaaS 4+25-HCS862V3;CUEAC25S05-HCS862V3;Windows 2008;ITDv3.0;CUEAC05;FR;64bits;CUEAC quatrieme increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
36;14011;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-HCS861V1;CUEAC25S06-HCS861V1;Windows 2008;1.2 V1;CUEAC06;FR;64bits;CUEAC cinquieme increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
37;24011;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-HCS862V1;CUEAC25S06-HCS862V1;Windows 2008;1.2 V1;CUEAC06;FR;64bits;CUEAC cinquieme increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
38;44011;true;CUEAC25S06;CU6;CUEAC UCaaS 5+25-HCS862V3;CUEAC25S06-HCS862V3;Windows 2008;ITDv3.0;CUEAC06;FR;64bits;CUEAC cinquieme increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
39;14012;true;CUEAC25S07;CU7;CUEAC UCaaS 6+25-HCS861V1;CUEAC25S07-HCS861V1;Windows 2008;1.2 V1;CUEAC07;FR;64bits;CUEAC sixieme increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
40;24012;true;CUEAC25S07;CU7;CUEAC UCaaS 6+25-HCS862V1;CUEAC25S07-HCS862V1;Windows 2008;1.2 V1;CUEAC07;FR;64bits;CUEAC sixieme increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
41;44012;true;CUEAC25S07;CU7;CUEAC UCaaS 6+25-HCS862V3;CUEAC25S07-HCS862V3;Windows 2008;ITDv3.0;CUEAC07;FR;64bits;CUEAC sixieme increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
42;14013;true;CUEAC25S08;CU8;CUEAC UCaaS 7+25-HCS861V1;CUEAC25S08-HCS861V1;Windows 2008;1.2 V1;CUEAC08;FR;64bits;CUEAC septieme increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
43;24013;true;CUEAC25S08;CU8;CUEAC UCaaS 7+25-HCS862V1;CUEAC25S08-HCS862V1;Windows 2008;1.2 V1;CUEAC08;FR;64bits;CUEAC septieme increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
44;44013;true;CUEAC25S08;CU8;CUEAC UCaaS 7+25-HCS862V3;CUEAC25S08-HCS862V3;Windows 2008;ITDv3.0;CUEAC08;FR;64bits;CUEAC septieme increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
45;14014;true;CUEAC25S09;CU9;CUEAC UCaaS 8+25-HCS861V1;CUEAC25S09-HCS861V1;Windows 2008;1.2 V1;CUEAC09;FR;64bits;CUEAC huitieme increment de 25 operatrices HCS8.6.1 V1;CUEAC;4096;4096;256;1;1;23;"";;
46;24014;true;CUEAC25S09;CU9;CUEAC UCaaS 8+25-HCS862V1;CUEAC25S09-HCS862V1;Windows 2008;1.2 V1;CUEAC09;FR;64bits;CUEAC huitieme increment de 25 operatrices HCS8.6.2 V1;CUEAC;4096;4096;256;1;1;23;"";;
47;44014;true;CUEAC25S09;CU9;CUEAC UCaaS 8+25-HCS862V3;CUEAC25S09-HCS862V3;Windows 2008;ITDv3.0;CUEAC09;FR;64bits;CUEAC huitieme increment de 25 operatrices HCS8.6.2 V3;CUEAC;6128;6128;2300;1;1;23;"";;
48;34015;true;CUEAC6-25S01;CU1;CUEAC UCaaS 1-6 operatrices-HCS862V2-MW2;CUEAC6-25S01E-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 6 operatrices SQL-Express avec installation Middleware HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;61;"";;
49;34016;true;CUEAC6-25S01;CU1;CUEAC UCaaS 6-25 operatrices-HCS862V2-MW2;CUEAC6-25S01S-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC01;FR;64bits;CUEAC International 25 operatrices SQL-Standard avec installation middleware HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
50;34007;true;CUEAC25S02;CU2;CUEAC UCaaS 1+25-HCS862V2-MW2;CUEAC25S02-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC02;FR;64bits;CUEAC International premier incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
51;34008;true;CUEAC25S03;CU3;CUEAC UCaaS 2+25-HCS862V2-MW2;CUEAC25S03-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC03;FR;64bits;CUEAC International second incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
52;34009;true;CUEAC25S04;CU4;CUEAC UCaaS 3+25-HCS862V2-MW2;CUEAC25S04-HCS862V2-MW2;Windows 2008;ITDV1.0;CUEAC04;FR;64bits;CUEAC International troisieme incrément de 25 operatrices HCS8.6.2 V2;CUEAC;6144;6144;2300;1;1;62;"";;
