indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
91;5500;false;UCS1000P01;UCS1000P01;UCSP01 1000-HCS862V4;UCS1000P01-HCS862V4;RedHat;HCS8.6.2 V4;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 devices HCS8.6.2 V4;CUCM;4096;4096;800;1;1;;P;;
92;3501;false;UCS1000S01;UCS1000S01;UCSS01 1000-HCS862V2;UCS1000S01-HCS862V2;RedHat;HCS8.6.2 V2;UCS1000S01;FR;32bits;UCSS01 (CUCM) 1000 users HCH8.6.2 V2;CUCM;4096;4096;800;1;1;;S;;
93;5501;false;UCS1000S01;UCS1000S01;UCSS01 1000-HCS862V4;UCS1000S01-HCS862V4;RedHat;HCS8.6.2 V4;UCS1000S01;FR;32bits;UCSS01 (CUCM) 1000 devices HCS8.6.2 V4;CUCM;4096;4096;800;1;1;;S;;
94;3502;false;UC1000CNX01;UC1000CNX01;UCNX01 1000-HCS862V2;UC1000CNX01-HCS862V2;RedHat;HCS8.6.2 V2;UC1000CNX01;FR;32bits;UCNX (Unity) 1000 users HCH8.6.2 V2;Unity;4096;4096;2300;1;1;;"";;
95;5502;false;UC1000CNX01;UC1000CNX01;UCNX01 1000-HCS862V4;UC1000CNX01-HCS862V4;RedHat;HCS8.6.2 V4;UC1000CNX01;FR;32bits;UCNX01 (Unity) 1000 devices HCS8.6.2 V4;Unity;4096;4096;2300;1;1;;"";;
96;3503;false;UC1000PS01;UC1000PS01;UCPS01 1000-HCS862V2;UC1000PS01-HCS862V2;RedHat;HCS8.6.2 V2;UC1000PS01;FR;32bits;UCPS01 (CUPS) 1000 users HCH8.6.2 V2;CUPS;4096;4096;1500;1;1;;"";;
97;5503;false;UC1000PS01;UC1000PS01;UCPS01 1000-HCS862V4;UC1000PS01-HCS862V4;RedHat;HCS8.6.2 V4;UC1000PS01;FR;32bits;UCPS01 (CUPS) 1000 devices HCS8.6.2 V4;CUPS;4096;4096;1500;1;2;;"";;
98;2200;false;UCS7500P01;UCS7500P01;UCSP01 7500 HCS 8.6.2-V1;UCS7500P01-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500P01;FR;32bits;UCSP01 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;P;;
99;2201;false;UCS7500S01;UCS7500S01;UCSS01 7500 HCS 8.6.2-V1;UCS7500S01-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500S01;FR;32bits;UCSS01 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;S;;
100;2202;false;UCS7500S02;UCS7500S02;UCSS02 7500 HCS 8.6.2-V1;UCS7500S02-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500S02;FR;32bits;UCSS02 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;S;;
101;2203;false;UCS7500S03;UCS7500S03;UCSS03 7500 HCS 8.6.2-V1;UCS7500S03-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500S03;FR;32bits;UCSS03 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;S;;
102;2204;false;UCS7500S04;UCS7500S04;UCSS04 7500 HCS 8.6.2-V1;UCS7500S04-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500S04;FR;32bits;UCSS04 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;S;;
103;2207;false;UCS7500S07;UCS7500S07;UCSS07 7500 HCS 8.6.2-V1;UCS7500S07-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500S07;FR;32bits;UCSS07 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;S;;
104;2208;false;UCS7500S08;UCS7500S08;UCSS08 7500 HCS 8.6.2-V1;UCS7500S08-HCS862V1;RedHat;HCS8.6.2 V1;UCS7500S08;FR;32bits;UCSS08 (CUCM) 7500 devices HCS8.6.2 V1;CUCM;6144;6144;3600;2;2;;S;;
105;2209;false;UC7500CNX01;UC7500CNX01;UCNX01 7500 HCS 8.6.2-V1;UC7500CNX01-HCS862V1;RedHat;HCS8.6.2 V1;UC7500CNX01;FR;32bits;UCNX01 (Unity) 7500 devices HCS8.6.2 V1;Unity;6144;6144;9600;4;4;;"";;
106;2210;false;UC7500PS01;UC7500PS01;UCPS01 7500 HCS 8.6.2-V1;UC7500PS01-HCS862V1;RedHat;HCS8.6.2 V1;UC7500PS01;FR;32bits;UCPS01 (CUPS) 7500 devices HCS8.6.2 V1;CUPS;6144;6144;8000;4;4;;"";;
107;3200;false;UCS7500P01;UCS7500P01;UCSP01 7500 HCS 8.6.2-V2;UCS7500P01-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500P01;FR;32bits;UCSP01 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;P;;
108;3201;false;UCS7500S01;UCS7500S01;UCSS01 7500 HCS 8.6.2-V2;UCS7500S01-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500S01;FR;32bits;UCSS01 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;S;;
109;3202;false;UCS7500S02;UCS7500S02;UCSS02 7500 HCS 8.6.2-V2;UCS7500S02-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500S02;FR;32bits;UCSS02 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;S;;
110;3203;false;UCS7500S03;UCS7500S03;UCSS03 7500 HCS 8.6.2-V2;UCS7500S03-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500S03;FR;32bits;UCSS03 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;S;;
111;3204;false;UCS7500S04;UCS7500S04;UCSS04 7500 HCS 8.6.2-V2;UCS7500S04-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500S04;FR;32bits;UCSS04 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;S;;
112;3207;false;UCS7500S07;UCS7500S07;UCSS07 7500 HCS 8.6.2-V2;UCS7500S07-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500S07;FR;32bits;UCSS07 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;S;;
113;3208;false;UCS7500S08;UCS7500S08;UCSS08 7500 HCS 8.6.2-V2;UCS7500S08-HCS862V2;RedHat;HCS8.6.2 V2;UCS7500S08;FR;32bits;UCSS08 (CUCM) 7500 devices HCS8.6.2 V2;CUCM;6144;6144;3600;2;2;;S;;
114;3209;false;UC7500CNX01;UC7500CNX01;UCNX01 7500 HCS 8.6.2-V2;UC7500CNX01-HCS862V2;RedHat;HCS8.6.2 V2;UC7500CNX01;FR;32bits;UCNX (Unity) 7500 devices HCS8.6.2 V2;Unity;6144;6144;9000;4;4;;"";;
115;3210;false;UC7500PS01;UC7500PS01;UCPS01 7500 HCS 8.6.2-V2;UC7500PS01-HCS862V2;RedHat;HCS8.6.2 V2;UC7500PS01;FR;32bits;UCPS01 (CUPS) 7500 devices HCS8.6.2 V2;CUPS;6144;6144;8000;4;4;;"";;
116;4200;false;UCS7500P01;UCS7500P01;UCSP01 7500 HCS 8.6.2-V3;UCS7500P01-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500P01;FR;32bits;UCSP01 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;P;;
117;4201;false;UCS7500S01;UCS7500S01;UCSS01 7500 HCS 8.6.2-V3;UCS7500S01-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500S01;FR;32bits;UCSS01 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;S;;
118;4202;false;UCS7500S02;UCS7500S02;UCSS02 7500 HCS 8.6.2-V3;UCS7500S02-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500S02;FR;32bits;UCSS02 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;S;;
119;4203;false;UCS7500S03;UCS7500S03;UCSS03 7500 HCS 8.6.2-V3;UCS7500S03-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500S03;FR;32bits;UCSS03 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;S;;
120;4204;false;UCS7500S04;UCS7500S04;UCSS04 7500 HCS 8.6.2-V3;UCS7500S04-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500S04;FR;32bits;UCSS04 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;S;;
121;4207;false;UCS7500S07;UCS7500S07;UCSS07 7500 HCS 8.6.2-V3;UCS7500S07-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500S07;FR;32bits;UCSS07 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;S;;
122;4208;false;UCS7500S08;UCS7500S08;UCSS08 7500 HCS 8.6.2-V3;UCS7500S08-HCS862V3;RedHat;HCS8.6.2 V3;UCS7500S08;FR;32bits;UCSS08 (CUCM) 7500 devices HCS8.6.2 V3;CUCM;6144;6144;3600;2;2;;S;;
123;4209;false;UC7500CNX01;UC7500CNX01;UCNX01 7500 HCS 8.6.2-V3;UC7500CNX01-HCS862V3;RedHat;HCS8.6.2 V3;UC7500CNX01;FR;32bits;UCNX (Unity) 7500 devices HCS8.6.2 V3;Unity;6144;6144;9000;4;4;;"";;
124;4210;false;UC7500PS01;UC7500PS01;UCPS01 7500 HCS 8.6.2-V3;UC7500PS01-HCS862V3;RedHat;HCS8.6.2 V3;UC7500PS01;FR;32bits;UCPS01 (CUPS) 7500 devices HCS8.6.2 V3;CUPS;6144;6144;8000;4;4;;"";;
125;5200;false;UCS7500P01;UCS7500P01;UCSP01 7500 HCS 8.6.2-V4;UCS7500P01-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500P01;FR;32bits;UCSP01 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;P;;
126;5201;false;UCS7500S01;UCS7500S01;UCSS01 7500 HCS 8.6.2-V4;UCS7500S01-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500S01;FR;32bits;UCSS01 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;S;;
127;5202;false;UCS7500S02;UCS7500S02;UCSS02 7500 HCS 8.6.2-V4;UCS7500S02-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500S02;FR;32bits;UCSS02 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;S;;
128;5203;false;UCS7500S03;UCS7500S03;UCSS03 7500 HCS 8.6.2-V4;UCS7500S03-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500S03;FR;32bits;UCSS03 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;S;;
129;5204;false;UCS7500S04;UCS7500S04;UCSS04 7500 HCS 8.6.2-V4;UCS7500S04-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500S04;FR;32bits;UCSS04 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;S;;
130;5207;false;UCS7500S07;UCS7500S07;UCSS07 7500 HCS 8.6.2-V4;UCS7500S07-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500S07;FR;32bits;UCSS07 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;S;;
131;5208;false;UCS7500S08;UCS7500S08;UCSS08 7500 HCS 8.6.2-V4;UCS7500S08-HCS862V4;RedHat;HCS8.6.2 V4;UCS7500S08;FR;32bits;UCSS08 (CUCM) 7500 devices HCS8.6.2 V4;CUCM;6144;6144;3600;2;2;;S;;
132;5209;false;UC7500CNX01;UC7500CNX01;UCNX01 7500 HCS 8.6.2-V4;UC7500CNX01-HCS862V4;RedHat;HCS8.6.2 V4;UC7500CNX01;FR;32bits;UCNX (Unity) 7500 devices HCS8.6.2 V4;Unity;6144;6144;9000;4;4;;"";;
133;5210;false;UC7500PS01;UC7500PS01;UCPS01 7500 HCS 8.6.2-V4;UC7500PS01-HCS862V4;RedHat;HCS8.6.2 V4;UC7500PS01;FR;32bits;UCPS01 (CUPS) 7500 devices HCS8.6.2 V4;CUPS;6144;6144;8000;4;4;;"";;
134;3600;false;UCS20000P01;UCS20000P01;UCSP01 20000 HCS 8.6.2-V2;UCS20000P01-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000P01;FR;32bits;UCSP01 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;P;;
135;3601;false;UCS20000S01;UCS20000S01;UCSS01 20000 HCS 8.6.2-V2;UCS20000S01-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S01;FR;32bits;UCSS01 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
136;3602;false;UCS20000S02;UCS20000S02;UCSS02 20000 HCS 8.6.2-V2;UCS20000S02-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S02;FR;32bits;UCSS02 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
137;3603;false;UCS20000S03;UCS20000S03;UCSS03 20000 HCS 8.6.2-V2;UCS20000S03-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S03;FR;32bits;UCSS03 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
138;3604;false;UCS20000S04;UCS20000S04;UCSS04 20000 HCS 8.6.2-V2;UCS20000S04-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S04;FR;32bits;UCSS04 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
139;3605;false;UCS20000S05;UCS20000S05;UCSS05 20000 HCS 8.6.2-V2;UCS20000S05-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S05;FR;32bits;UCSS05 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
140;3606;false;UCS20000S06;UCS20000S06;UCSS06 20000 HCS 8.6.2-V2;UCS20000S06-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S06;FR;32bits;UCSS06 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
141;3607;false;UCS20000S07;UCS20000S07;UCSS07 20000 HCS 8.6.2-V2;UCS20000S07-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S07;FR;32bits;UCSS07 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
142;3608;false;UCS20000S08;UCS20000S08;UCSS08 20000 HCS 8.6.2-V2;UCS20000S08-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S08;FR;32bits;UCSS08 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
143;3609;false;UCS20000S09;UCS20000S09;UCSS09 20000 HCS 8.6.2-V2;UCS20000S09-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S09;FR;32bits;UCSS09 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
144;3610;false;UCS20000S10;UCS20000S10;UCSS10 20000 HCS 8.6.2-V2;UCS20000S10-HCS862V2;RedHat;HCS8.6.2 V2;UCS20000S10;FR;32bits;UCSS10 (CUCM) 20000 devices HCS8.6.2 V2;CUCM;6144;6144;7200;4;4;;S;;
145;3611;false;UC20000CNX01;UC20000CNX01;UCNX01 20000 HCS 8.6.2-V2;UC20000CNX01-HCS862V2;RedHat;HCS8.6.2 V2;UC20000CNX01;FR;32bits;UCNX (Unity) 20000 devices HCS8.6.2 V2;Unity;8192;8192;14000;7;7;;"";;
146;3612;false;UC20000PS01;UC20000PS01;UCPS01 20000 HCS 8.6.2-V2;UC20000PS01-HCS862V2;RedHat;HCS8.6.2 V2;UC20000PS01;FR;32bits;UCPS01 (CUPS) 20000 devices HCS8.6.2 V2;CUPS;6144;6144;8000;4;4;;"";;
147;3613;false;UC20000PS02;UC20000PS02;UCPS02 20000 HCS 8.6.2-V2;UC20000PS02-HCS862V2;RedHat;HCS8.6.2 V2;UC20000PS02;FR;32bits;UCPS02 (CUPS) 20000 devices HCS8.6.2 V2;CUPS;6144;6144;8000;4;4;;"";;
148;4600;false;UCS20000P01;UCS20000P01;UCSP01 20000 HCS 8.6.2-V3;UCS20000P01-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000P01;FR;32bits;UCSP01 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;P;;
149;4601;false;UCS20000S01;UCS20000S01;UCSS01 20000 HCS 8.6.2-V3;UCS20000S01-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S01;FR;32bits;UCSS01 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
150;4602;false;UCS20000S02;UCS20000S02;UCSS02 20000 HCS 8.6.2-V3;UCS20000S02-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S02;FR;32bits;UCSS02 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
151;4603;false;UCS20000S03;UCS20000S03;UCSS03 20000 HCS 8.6.2-V3;UCS20000S03-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S03;FR;32bits;UCSS03 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
152;4604;false;UCS20000S04;UCS20000S04;UCSS04 20000 HCS 8.6.2-V3;UCS20000S04-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S04;FR;32bits;UCSS04 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
153;4605;false;UCS20000S05;UCS20000S05;UCSS05 20000 HCS 8.6.2-V3;UCS20000S05-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S05;FR;32bits;UCSS05 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
154;4606;false;UCS20000S06;UCS20000S06;UCSS06 20000 HCS 8.6.2-V3;UCS20000S06-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S06;FR;32bits;UCSS06 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
155;4607;false;UCS20000S07;UCS20000S07;UCSS07 20000 HCS 8.6.2-V3;UCS20000S07-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S07;FR;32bits;UCSS07 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
156;4608;false;UCS20000S08;UCS20000S08;UCSS08 20000 HCS 8.6.2-V3;UCS20000S08-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S08;FR;32bits;UCSS08 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
157;4609;false;UCS20000S09;UCS20000S09;UCSS09 20000 HCS 8.6.2-V3;UCS20000S09-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S09;FR;32bits;UCSS09 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
158;4610;false;UCS20000S10;UCS20000S10;UCSS10 20000 HCS 8.6.2-V3;UCS20000S10-HCS862V3;RedHat;HCS8.6.2 V3;UCS20000S10;FR;32bits;UCSS10 (CUCM) 20000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
159;4611;false;UC20000CNX01;UC20000CNX01;UCNX01 20000 HCS 8.6.2-V3;UC20000CNX01-HCS862V3;RedHat;HCS8.6.2 V3;UC20000CNX01;FR;32bits;UCNX (Unity) 20000 devices HCS8.6.2 V3;Unity;8192;8192;14000;7;7;;"";;
160;4612;false;UC20000PS01;UC20000PS01;UCPS01 20000 HCS 8.6.2-V3;UC20000PS01-HCS862V3;RedHat;HCS8.6.2 V3;UC20000PS01;FR;32bits;UCPS01 (CUPS) 20000 devices HCS8.6.2 V3;CUPS;6144;6144;8000;4;4;;"";;
161;4613;false;UC20000PS02;UC20000PS02;UCPS02 20000 HCS 8.6.2-V3;UC20000PS02-HCS862V3;RedHat;HCS8.6.2 V3;UC20000PS02;FR;32bits;UCPS02 (CUPS) 20000 devices HCS8.6.2 V3;CUPS;6144;6144;8000;4;4;;"";;
162;6600;false;UCS20000P01;UCS20000P01;UCSP01 20000 HCS 8.6.2-V4;UCS20000P01-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000P01;FR;32bits;UCSP01 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;P;;
163;6601;false;UCS20000S01;UCS20000S01;UCSS01 20000 HCS 8.6.2-V4;UCS20000S01-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S01;FR;32bits;UCSS01 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
164;6602;false;UCS20000S02;UCS20000S02;UCSS02 20000 HCS 8.6.2-V4;UCS20000S02-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S02;FR;32bits;UCSS02 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
165;6603;false;UCS20000S03;UCS20000S03;UCSS03 20000 HCS 8.6.2-V4;UCS20000S03-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S03;FR;32bits;UCSS03 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
166;6604;false;UCS20000S04;UCS20000S04;UCSS04 20000 HCS 8.6.2-V4;UCS20000S04-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S04;FR;32bits;UCSS04 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
167;6605;false;UCS20000S05;UCS20000S05;UCSS05 20000 HCS 8.6.2-V4;UCS20000S05-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S05;FR;32bits;UCSS05 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
168;6606;false;UCS20000S06;UCS20000S06;UCSS06 20000 HCS 8.6.2-V4;UCS20000S06-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S06;FR;32bits;UCSS06 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
169;6607;false;UCS20000S07;UCS20000S07;UCSS07 20000 HCS 8.6.2-V4;UCS20000S07-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S07;FR;32bits;UCSS07 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
170;6608;false;UCS20000S08;UCS20000S08;UCSS08 20000 HCS 8.6.2-V4;UCS20000S08-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S08;FR;32bits;UCSS08 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
171;6609;false;UCS20000S09;UCS20000S09;UCSS09 20000 HCS 8.6.2-V4;UCS20000S09-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S09;FR;32bits;UCSS09 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
172;6610;false;UCS20000S10;UCS20000S10;UCSS10 20000 HCS 8.6.2-V4;UCS20000S10-HCS862V4;RedHat;HCS8.6.2 V4;UCS20000S10;FR;32bits;UCSS10 (CUCM) 20000 devices HCS8.6.2 V4;CUCM;6144;6144;7200;4;4;;S;;
173;6611;false;UC20000CNX01;UC20000CNX01;UCNX01 20000 HCS 8.6.2-V4;UC20000CNX01-HCS862V4;RedHat;HCS8.6.2 V4;UC20000CNX01;FR;32bits;UCNX (Unity) 20000 devices HCS8.6.2 V4;Unity;8192;8192;14000;7;7;;"";;
174;6612;false;UC20000PS01;UC20000PS01;UCPS01 20000 HCS 8.6.2-V4;UC20000PS01-HCS862V4;RedHat;HCS8.6.2 V4;UC20000PS01;FR;32bits;UCPS01 (CUPS) 20000 devices HCS8.6.2 V4;CUPS;6144;6144;8000;4;4;;"";;
175;6613;false;UC20000PS02;UC20000PS02;UCPS02 20000 HCS 8.6.2-V4;UC20000PS02-HCS862V4;RedHat;HCS8.6.2 V4;UC20000PS02;FR;32bits;UCPS02 (CUPS) 20000 devices HCS8.6.2 V4;CUPS;6144;6144;8000;4;4;;"";;
176;5600;false;UCS40000P01;UCS40000P01;UCSP01 40000 HCS 8.6.2-V3;UCS40000P01-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000P01;FR;32bits;UCSP01 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;P;;
177;5601;false;UCS40000S01;UCS40000S01;UCSS01 40000 HCS 8.6.2-V3;UCS40000S01-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S01;FR;32bits;UCSS01 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
178;5602;false;UCS40000S02;UCS40000S02;UCSS02 40000 HCS 8.6.2-V3;UCS40000S02-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S02;FR;32bits;UCSS02 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
179;5603;false;UCS40000S03;UCS40000S03;UCSS03 40000 HCS 8.6.2-V3;UCS40000S03-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S03;FR;32bits;UCSS03 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
180;5604;false;UCS40000S04;UCS40000S04;UCSS04 40000 HCS 8.6.2-V3;UCS40000S04-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S04;FR;32bits;UCSS04 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
181;5605;false;UCS40000S05;UCS40000S05;UCSS05 40000 HCS 8.6.2-V3;UCS40000S05-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S05;FR;32bits;UCSS05 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
182;5606;false;UCS40000S06;UCS40000S06;UCSS06 40000 HCS 8.6.2-V3;UCS40000S06-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S06;FR;32bits;UCSS06 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
183;5607;false;UCS40000S07;UCS40000S07;UCSS07 40000 HCS 8.6.2-V3;UCS40000S07-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S07;FR;32bits;UCSS07 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
184;5608;false;UCS40000S08;UCS40000S08;UCSS08 40000 HCS 8.6.2-V3;UCS40000S08-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S08;FR;32bits;UCSS08 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
185;5609;false;UCS40000S09;UCS40000S09;UCSS09 40000 HCS 8.6.2-V3;UCS40000S09-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S09;FR;32bits;UCSS09 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
186;5610;false;UCS40000S10;UCS40000S10;UCSS10 40000 HCS 8.6.2-V3;UCS40000S10-HCS862V3;RedHat;HCS8.6.2 V3;UCS40000S10;FR;32bits;UCSS10 (CUCM) 40000 devices HCS8.6.2 V3;CUCM;6144;6144;7200;4;4;;S;;
