11';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'WIN_VACUEAC25';'WIN_VACUEAC25';'  UCaaS CUEACs ITD';'CUEAC25S07';'N.A';'';'CUEAC25S07';'CUEAC25S07';'';'';'Template_FR_CUEAC25S07_ITDv1.2';'';'';'[[CPU1-R2500][RAM4-R4][HDD40+100]]';'8';'none';'SQL Standard';'Template_FR_CUEAC25S07_ITDv1.2';'';'[[CPU1-R2500][RAM4-R4][HDD40+100]]';'8';'none';'SQL Standard';'';'';'';'';
12';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'WIN_VACUEAC25';'WIN_VACUEAC25';'  UCaaS CUEACs ITD';'CUEAC25S08';'N.A';'';'CUEAC25S08';'CUEAC25S08';'';'';'Template_FR_CUEAC25S08_ITDv1.2';'';'';'[[CPU1-R2500][RAM4-R4][HDD40+100]]';'8';'none';'SQL Standard';'Template_FR_CUEAC25S08_ITDv1.2';'';'[[CPU1-R2500][RAM4-R4][HDD40+100]]';'8';'none';'SQL Standard';'';'';'';'';
13';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'WIN_VACUEAC25';'WIN_VACUEAC25';'  UCaaS CUEACs ITD';'CUEAC25S09';'N.A';'';'CUEAC25S09';'CUEAC25S09';'';'';'Template_FR_CUEAC25S09_ITDv1.2';'';'';'[[CPU1-R2500][RAM4-R4][HDD40+100]]';'8';'none';'SQL Standard';'Template_FR_CUEAC25S09_ITDv1.2';'';'[[CPU1-R2500][RAM4-R4][HDD40+100]]';'8';'none';'SQL Standard';'';'';'';'';
14';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'UCS_VAUCCX';'UCS_VAUCCX';'  UCaaS Cisco optional Call Center';'UC100CX01';'N.A';'';'UC100CX01';'UC100CX01';'';'';'Template_FR_UC100CX01_8.6.1_20120306';'';'';'[[CPU2-R2500][RAM4-R4][HDD146]]';'8';'none';'';'Template_FR_UC100CX01_8.6.1_20120212';'';'[[CPU2-R2500][RAM4-R4][HDD146]]';'8';'none';'';'';'';'';'';
15';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'UCS_VAUCCX';'UCS_VAUCCX';'  UCaaS Cisco optional Call Center';'UC300CX01';'N.A';'';'UC300CX01';'UC300CX01';'';'';'Template_FR_UC300CX01_8.6.1_20120306';'';'';'[[CPU2-R2500][RAM4-R4][HDD146+146]]';'8';'none';'';'Template_FR_UC300CX01_8.6.1_20120212';'';'[[CPU2-R2500][RAM4-R4][HDD146+146]]';'8';'none';'';'';'';'';'';
16';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'WIN_VAADTB';'WIN_VAADTB';'  UCaaS ADs TOOLBOX ITD';'AD1';'N.A';'';'AD1';'AD1';'';'';'Template_FR_AD1_ITDv1.3';'';'';'[[CPU2-R600][RAM2-R2][HDD32]]';'1';'AD2';'';'Template_FR_AD1_ITDv1.3';'';'[[CPU2-R600][RAM2-R2][HDD32]]';'1';'AD2';'';'';'';'';'';
17';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'WIN_VAADTB';'WIN_VAADTB';'  UCaaS ADs TOOLBOX ITD';'AD2';'N.A';'';'AD2';'AD2';'';'';'Template_FR_AD2_ITDv1.3';'';'';'[[CPU2-R600][RAM2-R2][HDD32]]';'2';'AD1';'';'Template_FR_AD2_ITDv1.3';'';'[[CPU2-R600][RAM2-R2][HDD32]]';'2';'AD1';'';'';'';'';'';
18';'Deleted';'Obsolete';'SP550';'1.9';'CHY - Ucaas Cisco ';'N.A';'N.A';'N.A';'N.A';'';'WIN_VAADTB';'WIN_VAADTB';'  UCaaS ADs TOOLBOX ITD';'TOOLBOX';'N.A';'';'TOOLBOX';'TOOLBOX';'';'';'Template_FR_TOOLBOX_ITDv1.0';'';'';'[[CPU1-R300][RAM2-R2][HDD110]]';'13';'none';'';'Template_FR_TOOLBOX_ITDv1.0';'';'[[CPU1-R300][RAM2-R2][HDD110]]';'13';'none';'';'';'';'';'';
19';'Implemented';'Maintenance';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (1000 users)  8.6.1-V1';'Topologie UCaaS Cisco (1000 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC1000';'Vapp UC 1000 users 8.6.1 V1 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS)';'  UCaaS Cisco  (1000 users)';'UCS1000P01';'16';'';'UCS1000P01-861V1';'UCS1000P01';'UCSP01 (CUCM) 1000 users HCH8.6.1 V1';'';'Template_FR_UCS1000P01_8.6.1_20120306';'UCaaS Cisco HCS (1000 users)';'UCS1000P01-HCS861V1';'[[CPU1-R800][RAM4-R4][HDD80+80]]';'1';'UCSS01';'';'Template_FR_UCS1000P01_8.6.1_20120212';'';'[[CPU1-R800][RAM4-R4][HDD80+80]]';'1';'UCSS01';'';'';'';'';'';
20';'Implemented';'Maintenance';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (1000 users)  8.6.1-V1';'Topologie UCaaS Cisco (1000 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC1000';'Vapp UC 1000 users 8.6.1 V1 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS)';'  UCaaS Cisco  (1000 users)';'UCS1000S01';'17';'';'UCS1000S01-861V1';'UCS1000S01';'UCSS01 (CUCM) 1000 users HCH8.6.1 V1';'';'Template_FR_UCS1000S01_8.6.1_20120306';'UCaaS Cisco HCS (1000 users)';'UCS1000S01-HCS861V1';'[[CPU1-R800][RAM4-R4][HDD80+80]]';'2';'UCSP01';'';'Template_FR_UCS1000S01_8.6.1_20120212';'';'[[CPU1-R800][RAM4-R4][HDD80+80]]';'2';'UCSP01';'';'';'';'';'';
21';'Implemented';'Maintenance';'SP551.f';'3.3';'CHY - Ucaas Cisco ';'UCaaS Cisco (1000 users)  8.6.1-V1';'Topologie UCaaS Cisco (1000 users)  8.6.1-V1';'?';'?';'';'UCS_VAUC1000';'Vapp UC 1000 users 8.6.1 V1 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS)';'  UCaaS Cisco  (1000 users)';'UC1000CNX01';'18';'';'UC1000CNX01-861V1';'UC1000CNX01';'UCNX (Unity) 1000 users HCH8.6.1 V1';'';'Template_FR_UC1000CNX01_8.6.1_20120306';'UCaaS Cisco HCS (1000 users)';'UC1000CNX01-HCS861V1';'[[CPU1-R2500][RAM4-R4][HDD160]]';'4';'none';'';'Template_FR_UC1000CNX01_8.6.1_20120212';'';'[[CPU1-R2500][RAM4-R4][HDD160]]';'4';'none';'';'';'';'';'';
